Check in,,,,
Month,Date,Day,Club,Checked-in
45838,45809,1,HVP,625
45838,45809,1,SCT,1301
45838,45809,1,CPT,704
45838,45809,1,PCO,670
45838,45809,1,RCC,1018
45838,45809,1,FDC,331
45838,45809,1,BDS,318
45838,45809,1,DNG,893
45838,45809,1,TCM,1180
45838,45809,1,TDC,507
45838,45809,1,VVO,695
45838,45809,1,LTC,559
45838,45809,1,PPC,333
45838,45809,1,PBH,357
45838,45809,1,NTC,563
45838,45809,1,CTC,719
45838,45809,1,AMY,344
45838,45809,1,MPC,1019
45838,45809,1,PCH,641
45838,45809,1,CVC,294
45838,45809,1,HDY,251
45838,45809,1,TDU,762
45838,45809,1,GVC,505
45838,45809,1,WPC,1138
45838,45809,1,SCC,537
45838,45809,1,HDC,846
45838,45809,1,LMC,640
45838,45809,1,GDC,469
45838,45809,1,GMC,512
45838,45809,1,VTC,237
45838,45809,1,MAC,381
45838,45809,1,AMU,388
45838,45809,1,VSC,435
45838,45809,1,VMC,466
45838,45809,1,JCQ,0
45838,45809,1,JVJ,62
45838,45809,1,TTC,0
45838,45810,2,HVP,976
45838,45810,2,SCT,1774
45838,45810,2,CPT,1228
45838,45810,2,PCO,1040
45838,45810,2,RCC,1429
45838,45810,2,FDC,562
45838,45810,2,BDS,550
45838,45810,2,DNG,1348
45838,45810,2,TCM,1584
45838,45810,2,TDC,686
45838,45810,2,VVO,978
45838,45810,2,LTC,1107
45838,45810,2,PPC,580
45838,45810,2,PBH,612
45838,45810,2,NTC,917
45838,45810,2,CTC,1093
45838,45810,2,AMY,625
45838,45810,2,MPC,1460
45838,45810,2,PCH,978
45838,45810,2,CVC,490
45838,45810,2,HDY,601
45838,45810,2,TDU,1042
45838,45810,2,GVC,732
45838,45810,2,WPC,1451
45838,45810,2,SCC,937
45838,45810,2,HDC,1297
45838,45810,2,LMC,778
45838,45810,2,GDC,804
45838,45810,2,GMC,606
45838,45810,2,VTC,368
45838,45810,2,MAC,511
45838,45810,2,AMU,553
45838,45810,2,VSC,732
45838,45810,2,VMC,688
45838,45810,2,JCQ,0
45838,45810,2,JVJ,139
45838,45810,2,TTC,0
45838,45811,3,HVP,1080
45838,45811,3,SCT,1847
45838,45811,3,CPT,1297
45838,45811,3,PCO,1177
45838,45811,3,RCC,1317
45838,45811,3,FDC,642
45838,45811,3,BDS,636
45838,45811,3,DNG,1359
45838,45811,3,TCM,1598
45838,45811,3,TDC,799
45838,45811,3,VVO,1119
45838,45811,3,LTC,1091
45838,45811,3,PPC,685
45838,45811,3,PBH,706
45838,45811,3,NTC,875
45838,45811,3,CTC,1150
45838,45811,3,AMY,717
45838,45811,3,MPC,1442
45838,45811,3,PCH,991
45838,45811,3,CVC,479
45838,45811,3,HDY,560
45838,45811,3,TDU,1180
45838,45811,3,GVC,856
45838,45811,3,WPC,1373
45838,45811,3,SCC,978
45838,45811,3,HDC,1274
45838,45811,3,LMC,915
45838,45811,3,GDC,850
45838,45811,3,GMC,680
45838,45811,3,VTC,447
45838,45811,3,MAC,557
45838,45811,3,AMU,556
45838,45811,3,VSC,697
45838,45811,3,VMC,708
45838,45811,3,JCQ,0
45838,45811,3,JVJ,159
45838,45811,3,TTC,0
45838,45812,4,HVP,1012
45838,45812,4,SCT,1916
45838,45812,4,CPT,1362
45838,45812,4,PCO,1144
45838,45812,4,RCC,1348
45838,45812,4,FDC,643
45838,45812,4,BDS,578
45838,45812,4,DNG,1393
45838,45812,4,TCM,1593
45838,45812,4,TDC,701
45838,45812,4,VVO,1006
45838,45812,4,LTC,1137
45838,45812,4,PPC,562
45838,45812,4,PBH,642
45838,45812,4,NTC,911
45838,45812,4,CTC,1108
45838,45812,4,AMY,708
45838,45812,4,MPC,1450
45838,45812,4,PCH,1041
45838,45812,4,CVC,531
45838,45812,4,HDY,624
45838,45812,4,TDU,1005
45838,45812,4,GVC,697
45838,45812,4,WPC,1312
45838,45812,4,SCC,967
45838,45812,4,HDC,1280
45838,45812,4,LMC,738
45838,45812,4,GDC,731
45838,45812,4,GMC,554
45838,45812,4,VTC,432
45838,45812,4,MAC,604
45838,45812,4,AMU,581
45838,45812,4,VSC,742
45838,45812,4,VMC,663
45838,45812,4,JCQ,0
45838,45812,4,JVJ,149
45838,45812,4,TTC,0
45838,45813,5,HVP,1081
45838,45813,5,SCT,1801
45838,45813,5,CPT,1338
45838,45813,5,PCO,1137
45838,45813,5,RCC,1403
45838,45813,5,FDC,578
45838,45813,5,BDS,593
45838,45813,5,DNG,1358
45838,45813,5,TCM,1572
45838,45813,5,TDC,730
45838,45813,5,VVO,978
45838,45813,5,LTC,1070
45838,45813,5,PPC,633
45838,45813,5,PBH,610
45838,45813,5,NTC,832
45838,45813,5,CTC,1133
45838,45813,5,AMY,729
45838,45813,5,MPC,1334
45838,45813,5,PCH,976
45838,45813,5,CVC,468
45838,45813,5,HDY,624
45838,45813,5,TDU,1158
45838,45813,5,GVC,808
45838,45813,5,WPC,1397
45838,45813,5,SCC,952
45838,45813,5,HDC,1238
45838,45813,5,LMC,870
45838,45813,5,GDC,821
45838,45813,5,GMC,638
45838,45813,5,VTC,416
45838,45813,5,MAC,545
45838,45813,5,AMU,565
45838,45813,5,VSC,645
45838,45813,5,VMC,668
45838,45813,5,JCQ,0
45838,45813,5,JVJ,117
45838,45813,5,TTC,0
45838,45814,6,HVP,926
45838,45814,6,SCT,1742
45838,45814,6,CPT,1129
45838,45814,6,PCO,1060
45838,45814,6,RCC,1255
45838,45814,6,FDC,551
45838,45814,6,BDS,524
45838,45814,6,DNG,1294
45838,45814,6,TCM,1524
45838,45814,6,TDC,671
45838,45814,6,VVO,874
45838,45814,6,LTC,977
45838,45814,6,PPC,571
45838,45814,6,PBH,597
45838,45814,6,NTC,766
45838,45814,6,CTC,1019
45838,45814,6,AMY,619
45838,45814,6,MPC,1323
45838,45814,6,PCH,941
45838,45814,6,CVC,472
45838,45814,6,HDY,503
45838,45814,6,TDU,984
45838,45814,6,GVC,713
45838,45814,6,WPC,1400
45838,45814,6,SCC,799
45838,45814,6,HDC,1212
45838,45814,6,LMC,794
45838,45814,6,GDC,696
45838,45814,6,GMC,575
45838,45814,6,VTC,360
45838,45814,6,MAC,537
45838,45814,6,AMU,501
45838,45814,6,VSC,731
45838,45814,6,VMC,646
45838,45814,6,JCQ,0
45838,45814,6,JVJ,133
45838,45814,6,TTC,0
45838,45815,7,HVP,781
45838,45815,7,SCT,1392
45838,45815,7,CPT,881
45838,45815,7,PCO,830
45838,45815,7,RCC,1114
45838,45815,7,FDC,505
45838,45815,7,BDS,406
45838,45815,7,DNG,1132
45838,45815,7,TCM,1334
45838,45815,7,TDC,594
