,30-Jun-26,USD,,,,,,,,,,,,,,,,,,,
,Today,6/16/2026,,,,,,,,,,,,,,,,,,,
,,,,30-Jun-25,31-Jul-25,31-Aug-25,30-Sep-25,31-Oct-25,30-Nov-25,31-Dec-25,31-Jan-26,28-Feb-26,31-Mar-26,30-Apr-26,31-May-26,30-Jun-26,30-Jun-26,30-Jun-26,,,
No.,Club,Categories,,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act,Target,MTD,Projection,% Target,MoM,YoY
1,HVP,Doanh thu NMS,NMS," 115,574 "," 122,288 "," 123,446 "," 93,284 "," 90,808 "," 86,465 "," 108,343 "," 71,944 "," 70,416 "," 98,802 "," 77,802 "," 92,356 "," 126,875 "," 7,873 "," 14,763 ",12%,-84%,-87%
,HVP,Doanh thu PT,PT," 156,121 "," 116,444 "," 126,519 "," 151,760 "," 132,251 "," 125,614 "," 142,800 "," 82,391 "," 24,022 "," 140,131 "," 118,389 "," 65,812 "," 138,000 "," 15,586 "," 29,224 ",21%,-56%,-81%
,HVP,Doanh thu Supplement,Supplement," 4,977 "," 6,941 "," 6,098 "," 6,034 "," 7,628 "," 3,964 "," 3,354 "," 1,359 ", 142 ," 1,391 "," 1,575 "," 1,204 "," 6,000 ", 98 , 184 ,3%,-85%,-96%
,HVP,Doanh thu Y&I,Y&I," 7,470 ", 47 ," 3,308 "," 2,339 ", -   , 536 ," 5,152 ", 920 ," 2,349 "," 1,475 "," 1,266 "," 3,879 ", -   , -   , -   ,0%,-100%,-100%
,HVP,Doanh thu Hypoxi,Hypoxi," 11,587 "," 6,250 "," 15,296 "," 9,929 "," 10,446 "," 4,822 "," 13,563 "," 8,993 "," 2,531 "," 6,054 "," 3,088 "," 2,890 "," 13,500 ", 617 ," 1,157 ",9%,-60%,-90%
,HVP,Doanh thu VAS,VAS, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0%,0%,0%
,HVP,Doanh thu Califresh & Retail,Califresh and Retail," 6,329 "," 5,766 "," 7,063 "," 6,352 "," 6,196 "," 6,322 "," 6,500 "," 7,093 "," 2,226 "," 6,208 "," 6,126 "," 3,249 "," 6,625 "," 3,332 "," 6,248 ",94%,92%,-1%
,HVP,TỔNG DOANH THU,TOTAL REVENUE," 302,058 "," 257,735 "," 281,730 "," 269,697 "," 247,329 "," 227,722 "," 279,712 "," 172,701 "," 101,686 "," 254,061 "," 208,246 "," 169,390 "," 291,000 "," 27,507 "," 51,576 ",18%,-70%,-83%
,HVP,,,,,,,,,,,,,,,,,,,,
,HVP,Chi phí biến đổi theo doanh thu,Total Variable Cost," 103,988 "," 89,445 "," 93,367 "," 96,612 "," 92,238 "," 77,575 "," 94,601 "," 55,496 "," 14,743 "," 91,410 "," 59,259 "," 43,759 "," 92,283 "," 8,723 "," 16,356 ",18%,-63%,-84%
,HVP,Chi phí lương,Total Staffing cost," 38,818 "," 39,804 "," 42,886 "," 43,086 "," 40,068 "," 42,203 "," 42,910 "," 53,545 "," 43,698 "," 41,167 "," 37,638 "," 34,908 "," 36,613 "," 19,345 "," 36,273 ",99%,4%,-7%
,HVP,Chi phí lương - NMS,Staffing - NMS," 10,304 "," 10,530 "," 11,285 "," 11,021 "," 10,992 "," 11,913 "," 12,846 "," 16,361 "," 15,002 "," 12,058 "," 9,907 "," 9,422 "," 9,114 "," 5,154 "," 9,664 ",106%,3%,-6%
,HVP,Chi phí lương - PT,Staffing - PT," 12,888 "," 13,702 "," 14,837 "," 14,853 "," 12,250 "," 13,511 "," 12,992 "," 20,278 "," 12,784 "," 13,208 "," 11,835 "," 11,424 "," 11,745 "," 6,202 "," 11,629 ",99%,2%,-10%
