GUEST,,,
GuestShowDateTime,Club,MetricToShow,Sum of Number_Guest
45809,AMU,Media,2
45809,AMU,OL,2
45809,AMU,Sales,1
45809,AMU,TM,1
45809,AMY,Media,2
45809,AMY,Sales,3
45809,BDS,OL,4
45809,BDS,Sales,1
45809,BDS,TM,1
45809,CPT,LWT (Live Well Together),1
45809,CPT,Sales,2
45809,CTC,Media,1
45809,CTC,OL,4
45809,CTC,PNS,1
45809,CTC,Sales,2
45809,CTC,TM,1
45809,CVC,LWT (Live Well Together),1
45809,CVC,Media,2
45809,CVC,OL,7
45809,CVC,Sales,6
45809,DNG,OL,6
45809,DNG,Sales,3
45809,FDC,OL,2
45809,FDC,Sales,2
45809,GDC,Media,3
45809,GMC,OL,1
45809,GMC,Sales,3
45809,GVC,Sales,7
45809,HDY,OL,2
45809,HDY,Sales,1
45809,HVP,Media,2
45809,HVP,OL,2
45809,HVP,Sales,6
45809,LMC,Sales,12
45809,LTC,Media,2
45809,LTC,OL,1
45809,LTC,TM,2
45809,MAC,LWT (Live Well Together),2
45809,MAC,OL,4
45809,MAC,Sales,3
45809,MAC,TM,2
45809,MPC,Media,1
45809,MPC,OL,2
45809,MPC,Sales,4
45809,NTC,Media,1
45809,NTC,OL,7
45809,NTC,Sales,7
45809,PBH,Media,2
45809,PBH,OL,4
45809,PBH,Sales,1
45809,PCH,LWT (Live Well Together),2
45809,PCH,Media,1
45809,PCH,OL,6
45809,PCH,Sales,1
45809,PCO,LWT (Live Well Together),2
45809,PCO,Media,1
45809,PCO,Sales,3
45809,PPC,OL,1
45809,PPC,Sales,2
45809,RCC,LWT (Live Well Together),1
45809,RCC,OL,5
45809,RCC,Sales,3
45809,SCC,OL,2
45809,SCC,Sales,8
45809,SCT,OL,9
45809,SCT,Sales,1
45809,TCM,OL,4
45809,TCM,Sales,6
45809,TDC,Media,1
45809,TDC,OL,2
45809,TDC,Sales,5
45809,TDU,Media,1
45809,TDU,OL,1
45809,TDU,Sales,6
45809,VMC,OL,1
45809,VMC,Sales,1
45809,VSC,LWT (Live Well Together),2
45809,VSC,OL,1
45809,VSC,Sales,9
45809,VTC,Media,1
45809,VTC,OL,2
45809,VTC,Sales,3
45809,VTC,TM,1
45809,VVO,OL,5
45809,VVO,Sales,7
45809,VVO,TM,3
45809,WPC,OL,5
45809,WPC,Sales,1
45810,AMU,OL,3
45810,AMU,Sales,7
45810,AMY,LWT (Live Well Together),1
45810,AMY,Media,1
45810,AMY,OL,2
45810,AMY,Sales,1
45810,AMY,TM,1
45810,BDS,Media,7
45810,BDS,OL,14
45810,BDS,Sales,2
45810,BDS,TM,1
45810,CPT,OL,5
45810,CPT,Sales,4
45810,CPT,TM,2
45810,CTC,Media,1
45810,CTC,OL,5
45810,CTC,Sales,8
45810,CVC,Media,1
45810,CVC,OL,6
45810,CVC,Sales,2
45810,CVC,TM,2
45810,DNG,OL,8
45810,DNG,Sales,17
45810,FDC,OL,1
45810,FDC,Sales,1
45810,GDC,OL,1
45810,GDC,Sales,8
45810,GMC,Sales,8
45810,GVC,Media,4
45810,GVC,OL,1
45810,GVC,PNS,1
45810,GVC,Sales,6
45810,HDC,OL,3
45810,HDC,Sales,2
45810,HDC,TM,1
45810,HDY,Media,1
45810,HDY,OL,3
45810,HDY,Sales,4
45810,HDY,TM,2
45810,HVP,Media,2
45810,HVP,OL,1
45810,HVP,Sales,6
45810,HVP,TM,3
45810,JVJ,OL,1
45810,JVJ,Sales,1
45810,LMC,OL,5
45810,LMC,Sales,10
45810,LTC,Media,2
45810,LTC,OL,5
45810,LTC,Sales,1
45810,MAC,OL,7
45810,MAC,Sales,2
45810,MPC,LWT (Live Well Together),2
45810,MPC,OL,8
45810,MPC,Sales,8
45810,MPC,TM,3
45810,NTC,Media,2
45810,NTC,OL,10
45810,NTC,Sales,11
45810,NTC,TM,5
45810,PBH,Media,1
45810,PBH,OL,1
45810,PBH,Sales,6
45810,PBH,TM,1
45810,PCH,OL,13
45810,PCH,Sales,4
45810,PCH,TM,1
45810,PCO,OL,7
45810,PCO,Sales,1
45810,PPC,Media,1
45810,RCC,OL,9
45810,RCC,PNS,2
45810,RCC,Sales,5
45810,RCC,TM,2
45810,SCC,Media,2
45810,SCC,PNS,1
45810,SCC,Sales,8
