DAILY REVENUE,,,,,,,,
EOM,DATE,DAY,No.,CLUB,Description,link ce,to link pnl,REV
45838,45809,1,1,HVP,CC,NMS,NMS,729.220572881202
45838,45809,1,,HVP,CS,,,
45838,45809,1,,HVP,Gym,,,
45838,45809,1,,HVP,PT,PT,PT,0
45838,45809,1,,HVP,CES,PT,PT,0
45838,45809,1,,HVP,Stretching,PT,PT,0
45838,45809,1,,HVP,Kickfit,PT,PT,0
45838,45809,1,,HVP,Mixed,PT,PT,0
45838,45809,1,,HVP,Pilates,PT,PT,0
45838,45809,1,,HVP,Physio,PT,PT,0
45838,45809,1,,HVP,HPX,Hypoxi,Hypoxi,0
45838,45809,1,,HVP,Yoga,,,
45838,45809,1,,HVP,YI 1:1,YI,Y&I,0
45838,45809,1,,HVP,Yoga Class,,,
45838,45809,1,,HVP,Group X,,,
45838,45809,1,,HVP,GX 1:1,,,
45838,45809,1,,HVP,Group Class,,,
45838,45809,1,,HVP,Supplement,Supplement,Supplement,65.8289279833608
45838,45809,1,,HVP,VAS,,,0
45838,45809,1,,HVP,Retail & Califresh,Califresh and Retail,Califresh and Retail,93.6996273507236
45838,45809,1,,HVP,Retail & Califresh,Califresh FW,Califresh and Retail,
45838,45809,1,2,PCO,CC,NMS,NMS,50.8420718144264
45838,45809,1,,PCO,CS,,,
45838,45809,1,,PCO,Gym,,,
45838,45809,1,,PCO,PT,PT,PT,1216.57814698806
45838,45809,1,,PCO,CES,PT,PT,0
45838,45809,1,,PCO,Stretching,PT,PT,0
45838,45809,1,,PCO,Kickfit,PT,PT,0
45838,45809,1,,PCO,Mixed,PT,PT,0
45838,45809,1,,PCO,Pilates,PT,PT,0
45838,45809,1,,PCO,Physio,PT,PT,0
45838,45809,1,,PCO,HPX,Hypoxi,Hypoxi,235.722332957795
45838,45809,1,,PCO,Yoga,,,
45838,45809,1,,PCO,YI 1:1,YI,Y&I,0
45838,45809,1,,PCO,Yoga Class,,,
45838,45809,1,,PCO,Group X,,,
45838,45809,1,,PCO,GX 1:1,,,
45838,45809,1,,PCO,Group Class,,,
45838,45809,1,,PCO,Supplement,Supplement,Supplement,65.8289279833608
45838,45809,1,,PCO,VAS,,,0
45838,45809,1,,PCO,Retail & Califresh,Califresh and Retail,Califresh and Retail,45.6192044371263
45838,45809,1,,PCO,Retail & Califresh,Califresh FW,Califresh and Retail,
45838,45809,1,3,BDS,CC,NMS,NMS,0
45838,45809,1,,BDS,CS,,,
45838,45809,1,,BDS,Gym,,,
45838,45809,1,,BDS,PT,PT,PT,0
45838,45809,1,,BDS,CES,PT,PT,0
45838,45809,1,,BDS,Stretching,PT,PT,0
45838,45809,1,,BDS,Kickfit,PT,PT,0
45838,45809,1,,BDS,Mixed,PT,PT,0
45838,45809,1,,BDS,Pilates,PT,PT,0
45838,45809,1,,BDS,Physio,PT,PT,0
45838,45809,1,,BDS,HPX,Hypoxi,Hypoxi,0
45838,45809,1,,BDS,Yoga,,,
45838,45809,1,,BDS,YI 1:1,YI,Y&I,0
45838,45809,1,,BDS,Yoga Class,,,
45838,45809,1,,BDS,Group X,,,
45838,45809,1,,BDS,GX 1:1,,,
45838,45809,1,,BDS,Group Class,,,
45838,45809,1,,BDS,Supplement,Supplement,Supplement,0
45838,45809,1,,BDS,VAS,,,0
45838,45809,1,,BDS,Retail & Califresh,Califresh and Retail,Califresh and Retail,40.2461218476471
45838,45809,1,,BDS,Retail & Califresh,Califresh FW,Califresh and Retail,
45838,45809,1,4,VVO,CC,NMS,NMS,0
45838,45809,1,,VVO,CS,,,
45838,45809,1,,VVO,Gym,,,
45838,45809,1,,VVO,PT,PT,PT,0
45838,45809,1,,VVO,CES,PT,PT,0
45838,45809,1,,VVO,Stretching,PT,PT,0
45838,45809,1,,VVO,Kickfit,PT,PT,0
45838,45809,1,,VVO,Mixed,PT,PT,0
45838,45809,1,,VVO,Pilates,PT,PT,0
45838,45809,1,,VVO,Physio,PT,PT,0
45838,45809,1,,VVO,HPX,Hypoxi,Hypoxi,623.346910477511
45838,45809,1,,VVO,Yoga,,,
45838,45809,1,,VVO,YI 1:1,YI,Y&I,0
45838,45809,1,,VVO,Yoga Class,,,
45838,45809,1,,VVO,Group X,,,
45838,45809,1,,VVO,GX 1:1,,,
45838,45809,1,,VVO,Group Class,,,
45838,45809,1,,VVO,Supplement,Supplement,Supplement,0
45838,45809,1,,VVO,VAS,,,0
45838,45809,1,,VVO,Retail & Califresh,Califresh and Retail,Califresh and Retail,72.6232775803796
45838,45809,1,,VVO,Retail & Califresh,Califresh FW,Califresh and Retail,
45838,45809,1,5,TDC,CC,NMS,NMS,2015.52498978619
45838,45809,1,,TDC,CS,,,
45838,45809,1,,TDC,Gym,,,
45838,45809,1,,TDC,PT,PT,PT,0
45838,45809,1,,TDC,CES,PT,PT,0
45838,45809,1,,TDC,Stretching,PT,PT,0
45838,45809,1,,TDC,Kickfit,PT,PT,0
45838,45809,1,,TDC,Mixed,PT,PT,0
45838,45809,1,,TDC,Pilates,PT,PT,0
45838,45809,1,,TDC,Physio,PT,PT,0
45838,45809,1,,TDC,HPX,Hypoxi,Hypoxi,0
45838,45809,1,,TDC,Yoga,,,
45838,45809,1,,TDC,YI 1:1,YI,Y&I,0
45838,45809,1,,TDC,Yoga Class,,,
45838,45809,1,,TDC,Group X,,,
45838,45809,1,,TDC,GX 1:1,,,
45838,45809,1,,TDC,Group Class,,,
45838,45809,1,,TDC,Supplement,Supplement,Supplement,0
45838,45809,1,,TDC,VAS,,,0
45838,45809,1,,TDC,Retail & Califresh,Califresh and Retail,Califresh and Retail,270.976687754572
45838,45809,1,,TDC,Retail & Califresh,Califresh FW,Califresh and Retail,
45838,45809,1,6,FDC,CC,NMS,NMS,0
45838,45809,1,,FDC,CS,,,
45838,45809,1,,FDC,Gym,,,
45838,45809,1,,FDC,PT,PT,PT,0
45838,45809,1,,FDC,CES,PT,PT,0
45838,45809,1,,FDC,Stretching,PT,PT,0
45838,45809,1,,FDC,Kickfit,PT,PT,0
45838,45809,1,,FDC,Mixed,PT,PT,0
45838,45809,1,,FDC,Pilates,PT,PT,0
45838,45809,1,,FDC,Physio,PT,PT,0
45838,45809,1,,FDC,HPX,Hypoxi,Hypoxi,0
45838,45809,1,,FDC,Yoga,,,
45838,45809,1,,FDC,YI 1:1,YI,Y&I,0
45838,45809,1,,FDC,Yoga Class,,,
45838,45809,1,,FDC,Group X,,,
45838,45809,1,,FDC,GX 1:1,,,
45838,45809,1,,FDC,Group Class,,,
45838,45809,1,,FDC,Supplement,Supplement,Supplement,0
45838,45809,1,,FDC,VAS,,,0
45838,45809,1,,FDC,Retail & Califresh,Califresh and Retail,Califresh and Retail,138.486870612705
45838,45809,1,,FDC,Retail & Califresh,Califresh FW,Califresh and Retail,
45838,45809,1,7,RCC,CC,NMS,NMS,145.263062326933
45838,45809,1,,RCC,CS,,,
45838,45809,1,,RCC,Gym,,,
45838,45809,1,,RCC,PT,PT,PT,0
45838,45809,1,,RCC,CES,PT,PT,0
45838,45809,1,,RCC,Stretching,PT,PT,0
45838,45809,1,,RCC,Kickfit,PT,PT,0
45838,45809,1,,RCC,Mixed,PT,PT,0
45838,45809,1,,RCC,Pilates,PT,PT,0
45838,45809,1,,RCC,Physio,PT,PT,0
45838,45809,1,,RCC,HPX,Hypoxi,Hypoxi,0
45838,45809,1,,RCC,Yoga,,,
45838,45809,1,,RCC,YI 1:1,YI,Y&I,0
45838,45809,1,,RCC,Yoga Class,,,
45838,45809,1,,RCC,Group X,,,
45838,45809,1,,RCC,GX 1:1,,,
45838,45809,1,,RCC,Group Class,,,
45838,45809,1,,RCC,Supplement,Supplement,Supplement,0
45838,45809,1,,RCC,VAS,,,0
45838,45809,1,,RCC,Retail & Califresh,Califresh and Retail,Califresh and Retail,22.3242915330618
45838,45809,1,,RCC,Retail & Califresh,Califresh FW,Califresh and Retail,
45838,45809,1,8,SCT,CC,NMS,NMS,667.483771392256
45838,45809,1,,SCT,CS,,,
45838,45809,1,,SCT,Gym,,,
45838,45809,1,,SCT,PT,PT,PT,0
45838,45809,1,,SCT,CES,PT,PT,0
45838,45809,1,,SCT,Stretching,PT,PT,0
45838,45809,1,,SCT,Kickfit,PT,PT,0
45838,45809,1,,SCT,Mixed,PT,PT,0
45838,45809,1,,SCT,Pilates,PT,PT,0
45838,45809,1,,SCT,Physio,PT,PT,0
45838,45809,1,,SCT,HPX,Hypoxi,Hypoxi,0
45838,45809,1,,SCT,Yoga,,,
45838,45809,1,,SCT,YI 1:1,YI,Y&I,0
45838,45809,1,,SCT,Yoga Class,,,
45838,45809,1,,SCT,Group X,,,
45838,45809,1,,SCT,GX 1:1,,,
45838,45809,1,,SCT,Group Class,,,
45838,45809,1,,SCT,Supplement,Supplement,Supplement,0
45838,45809,1,,SCT,VAS,,,0
45838,45809,1,,SCT,Retail & Califresh,Califresh and Retail,Califresh and Retail,11.7514515989254
45838,45809,1,,SCT,Retail & Califresh,Califresh FW,Califresh and Retail,
45838,45809,1,9,TCM,CC,NMS,NMS,0
45838,45809,1,,TCM,CS,,,
45838,45809,1,,TCM,Gym,,,
45838,45809,1,,TCM,PT,PT,PT,0
45838,45809,1,,TCM,CES,PT,PT,0
45838,45809,1,,TCM,Stretching,PT,PT,0
45838,45809,1,,TCM,Kickfit,PT,PT,0
45838,45809,1,,TCM,Mixed,PT,PT,0
45838,45809,1,,TCM,Pilates,PT,PT,0
45838,45809,1,,TCM,Physio,PT,PT,0
45838,45809,1,,TCM,HPX,Hypoxi,Hypoxi,0
45838,45809,1,,TCM,Yoga,,,
45838,45809,1,,TCM,YI 1:1,YI,Y&I,0
45838,45809,1,,TCM,Yoga Class,,,
45838,45809,1,,TCM,Group X,,,
45838,45809,1,,TCM,GX 1:1,,,
45838,45809,1,,TCM,Group Class,,,
45838,45809,1,,TCM,Supplement,Supplement,Supplement,0
45838,45809,1,,TCM,VAS,,,0
45838,45809,1,,TCM,Retail & Califresh,Califresh and Retail,Califresh and Retail,112.869399428027
45838,45809,1,,TCM,Retail & Califresh,Califresh FW,Califresh and Retail,
45838,45809,1,10,CPT,CC,NMS,NMS,65.2594307503745
45838,45809,1,,CPT,CS,,,
45838,45809,1,,CPT,Gym,,,
45838,45809,1,,CPT,PT,PT,PT,0
45838,45809,1,,CPT,CES,PT,PT,0
45838,45809,1,,CPT,Stretching,PT,PT,0
45838,45809,1,,CPT,Kickfit,PT,PT,0
45838,45809,1,,CPT,Mixed,PT,PT,0
45838,45809,1,,CPT,Pilates,PT,PT,0
45838,45809,1,,CPT,Physio,PT,PT,0
45838,45809,1,,CPT,HPX,Hypoxi,Hypoxi,0
45838,45809,1,,CPT,Yoga,,,
45838,45809,1,,CPT,YI 1:1,YI,Y&I,0
45838,45809,1,,CPT,Yoga Class,,,
45838,45809,1,,CPT,Group X,,,
45838,45809,1,,CPT,GX 1:1,,,
45838,45809,1,,CPT,Group Class,,,
45838,45809,1,,CPT,Supplement,Supplement,Supplement,0
45838,45809,1,,CPT,VAS,,,0
45838,45809,1,,CPT,Retail & Califresh,Califresh and Retail,Califresh and Retail,102.019239102175
45838,45809,1,,CPT,Retail & Califresh,Califresh FW,Califresh and Retail,
45838,45809,1,11,DNG,CC,NMS,NMS,111.126242680103
45838,45809,1,,DNG,CS,,,
45838,45809,1,,DNG,Gym,,,
45838,45809,1,,DNG,PT,PT,PT,108.9472967452
45838,45809,1,,DNG,CES,PT,PT,0
45838,45809,1,,DNG,Stretching,PT,PT,181.578827908666
45838,45809,1,,DNG,Kickfit,PT,PT,0
45838,45809,1,,DNG,Mixed,PT,PT,0
45838,45809,1,,DNG,Pilates,PT,PT,0
45838,45809,1,,DNG,Physio,PT,PT,0
45838,45809,1,,DNG,HPX,Hypoxi,Hypoxi,237.108934916371
