Club,Club PnL,Club PnL,,Cost target
,,,,
HVP,Sửa chữa & bảo trì,Repair & maintenance,Fixed cost," (2,462)"
HVP,Vật tư tiêu hao,Supplies,Fixed cost," (5,949)"
HVP,Điện nước,Utilities,Fixed cost," (9,730)"
HVP,Chi phí chung khác,Other OH,Fixed cost," (13,747)"
SCT,Sửa chữa & bảo trì,Repair & maintenance,Fixed cost," (2,465)"
SCT,Vật tư tiêu hao,Supplies,Fixed cost," (6,157)"
SCT,Điện nước,Utilities,Fixed cost," (21,214)"
SCT,Chi phí chung khác,Other OH,Fixed cost," (19,479)"
CPT,Sửa chữa & bảo trì,Repair & maintenance,Fixed cost," (1,690)"
CPT,Vật tư tiêu hao,Supplies,Fixed cost," (4,099)"
CPT,Điện nước,Utilities,Fixed cost," (17,677)"
CPT,Chi phí chung khác,Other OH,Fixed cost," (15,037)"
PCO,Sửa chữa & bảo trì,Repair & maintenance,Fixed cost," (1,714)"
PCO,Vật tư tiêu hao,Supplies,Fixed cost," (3,522)"
PCO,Điện nước,Utilities,Fixed cost," (16,762)"
PCO,Chi phí chung khác,Other OH,Fixed cost," (12,728)"
RCC,Sửa chữa & bảo trì,Repair & maintenance,Fixed cost," (1,819)"
RCC,Vật tư tiêu hao,Supplies,Fixed cost," (5,253)"
RCC,Điện nước,Utilities,Fixed cost," (17,437)"
RCC,Chi phí chung khác,Other OH,Fixed cost," (12,278)"
FDC,Sửa chữa & bảo trì,Repair & maintenance,Fixed cost," (1,334)"
FDC,Vật tư tiêu hao,Supplies,Fixed cost," (1,924)"
FDC,Điện nước,Utilities,Fixed cost," (9,235)"
FDC,Chi phí chung khác,Other OH,Fixed cost," (7,112)"
BDS,Sửa chữa & bảo trì,Repair & maintenance,Fixed cost, (947)
BDS,Vật tư tiêu hao,Supplies,Fixed cost," (1,332)"
BDS,Điện nước,Utilities,Fixed cost," (8,460)"
BDS,Chi phí chung khác,Other OH,Fixed cost," (6,526)"
DNG,Sửa chữa & bảo trì,Repair & maintenance,Fixed cost," (2,408)"
DNG,Vật tư tiêu hao,Supplies,Fixed cost," (5,959)"
DNG,Điện nước,Utilities,Fixed cost," (15,242)"
DNG,Chi phí chung khác,Other OH,Fixed cost," (15,333)"
TCM,Sửa chữa & bảo trì,Repair & maintenance,Fixed cost," (1,099)"
TCM,Vật tư tiêu hao,Supplies,Fixed cost," (4,642)"
TCM,Điện nước,Utilities,Fixed cost," (16,191)"
TCM,Chi phí chung khác,Other OH,Fixed cost," (12,271)"
TDC,Sửa chữa & bảo trì,Repair & maintenance,Fixed cost," (1,067)"
TDC,Vật tư tiêu hao,Supplies,Fixed cost," (2,042)"
TDC,Điện nước,Utilities,Fixed cost," (7,940)"
TDC,Chi phí chung khác,Other OH,Fixed cost," (8,902)"
VVO,Sửa chữa & bảo trì,Repair & maintenance,Fixed cost," (2,127)"
VVO,Vật tư tiêu hao,Supplies,Fixed cost," (2,513)"
VVO,Điện nước,Utilities,Fixed cost," (13,767)"
VVO,Chi phí chung khác,Other OH,Fixed cost," (10,981)"
LTC,Sửa chữa & bảo trì,Repair & maintenance,Fixed cost, (980)
