 ,Current headcount by department ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Month,Apr'26,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total, 322 , 616 , 29 , 78 , 127 , 418 ," 1,589 "," 198,148 "," 266,753 "," 15,350 "," 24,029 "," 110,119 "," 201,170 "," 25,860 "," 34,055 "," 2,082 "," 877,566 ",," 5,759 "," 5,241 ",,,,,,,,
,,Headcount,,,,,,,Staffing cost,,,,,,,,,,,,,,,,,,,1-Apr-26,
,Club,Sales,PT,Hypoxi,GX,Yoga,MS,Total HC,SALES,PT,HYPOXI,GX,Yoga,MS,CMO,CALIFRESH,Retail,Total club staffing costs,,DS,MR,,,,,Club,Department,No. of HC,Staffing cost (USD)
,HVP, 15 , 35 , 3 , 3 , 4 , 17 , 76 ," 9,114 "," 11,745 ", 894 , 758 ," 3,640 "," 8,253 "," 1,015 "," 1,125 ", 69 ," 36,613 ",, 193 , 151 ,,,,,HVP,Sales, 12.4 ," 9,114 "
,SCT, 23 , 16 , 5 , 4 , 4 , 20 , 73 ," 11,497 "," 6,016 "," 1,959 "," 1,130 "," 2,962 "," 9,174 ", 641 ," 1,316 ", 69 ," 34,764 ",, 102 , 138 ,,,,,HVP,PT, 31.0 ," 11,745 "
,PCO, 10 , 25 , 4 , 3 , 5 , 18 , 64 ," 6,015 "," 11,521 "," 1,305 "," 1,305 "," 3,447 "," 8,134 ", 783 ," 1,291 ", 69 ," 33,869 ",, 262 , 165 ,,,,,HVP,Hypoxi, 2.6 , 894 
,CPT, 13 , 23 , -   , 3 , 4 , 15 , 59 ," 6,929 "," 8,409 ", -   , 855 ," 4,111 "," 7,533 "," 1,314 "," 1,022 ", 69 ," 30,243 ",, 164 , 326 ,,,,,HVP,GX, 7.4 , 758 
,RCC, 10 , 18 , -   , 3 , 3 , 19 , 53 ," 6,646 "," 7,404 ", -   , 783 ," 3,234 "," 9,645 ", 863 ," 1,277 ", 69 ," 29,922 ",, 211 , 326 ,,,,,HVP,Yoga, 3.4 ," 3,640 "
,TCM, 13 , 23 , 2 , 4 , 5 , 17 , 64 ," 8,221 "," 10,027 "," 1,006 ", 932 ," 3,708 "," 7,114 ", 863 ," 1,353 ", 69 ," 33,293 ",, 102 , 326 ,,,,,HVP,MS, 16.6 ," 8,253 "
,DNG, 13 , 26 , -   , 4 , 9 , 19 , 71 ," 9,100 "," 10,464 "," 1,184 "," 1,056 "," 7,627 "," 8,580 "," 1,502 "," 1,718 ", 69 ," 41,302 ",, 197 , 172 ,,,,,HVP,CMO, 1.7 ," 1,015 "
,FDC, 9 , 14 , -   , 2 , 4 , 12 , 42 ," 5,756 "," 6,059 ", -   , 460 ," 4,173 "," 5,769 ", 790 , 885 , 69 ," 23,962 ",, 192 , 135 ,,,,,HVP,CALIFRESH, 3.9 ," 1,194 "
,TDC, 9 , 20 , -   , 2 , 6 , 14 , 51 ," 5,113 "," 10,479 ", -   , 697 ," 3,655 "," 6,318 ", 741 ," 1,227 ", 69 ," 28,299 ",, 166 , 172 ,,,,,,,,
,BDS, 8 , 17 , -   , 2 , 4 , 10 , 41 ," 4,403 "," 6,153 ", -   , 547 ," 2,538 "," 5,164 ", 590 , 640 , 69 ," 20,104 ",, 178 , 135 ,,,,,SCT,Sales, 22.7 ," 11,497 "
,VVO, 14 , 20 , 3 , 3 , 4 , 14 , 57 ," 5,668 "," 10,174 "," 1,065 "," 1,869 "," 4,058 "," 6,933 "," 1,063 "," 1,295 ", 69 ," 32,193 ",, 262 , 151 ,,,,,SCT,PT, 16.9 ," 6,016 "
,PBH, 9 , 17 , -   , 2 , 5 , 12 , 45 ," 6,700 "," 5,719 ", -   , 385 ," 5,320 "," 5,491 ", 590 ," 1,035 ", 69 ," 25,309 ",, 193 , 165 ,,,,,SCT,Hypoxi, 6.3 ," 1,959 "
,NTC, 7 , 18 , -   , 2 , 5 , 14 , 47 ," 4,040 "," 8,885 ", -   ," 1,220 "," 3,502 "," 6,573 "," 1,190 "," 1,317 ", 69 ," 26,796 ",, 211 , 135 ,,,,,SCT,GX, 8.9 ," 1,130 "
,CTC, 13 , 27 , 3 , 3 , 5 , 18 , 69 ," 8,860 "," 12,487 ", 979 , 791 ," 4,810 "," 8,131 "," 1,384 "," 1,394 ", 69 ," 38,906 ",, 166 , 165 ,,,,,SCT,Yoga, 3.0 ," 2,962 "
,PCH, 15 , 14 , -   , 3 , 3 , 14 , 48 ," 10,364 "," 6,240 ", -   , 766 ," 2,460 "," 6,049 ", 792 , 644 , 69 ," 27,384 ",, 211 , 138 ,,,,,SCT,MS, 20.0 ," 9,174 "
,AMY, 6 , 13 , -   , 1 , 5 , 11 , 36 ," 5,573 "," 7,610 ", -   , 168 ," 3,679 "," 5,243 ", 754 ," 1,131 ", 69 ," 24,228 ",, 192 , 135 ,,,,,SCT,CMO, 1.1 , 641 
,MPC, 8 , 17 , 1 , 6 , 3 , 13 , 48 ," 6,711 "," 8,415 ", 954 ," 1,885 "," 3,019 "," 6,953 ", 596 , 769 , 69 ," 29,371 ",, 164 , 138 ,,,,,SCT,CALIFRESH, 4.1 ," 1,385 "
,HDY, 11 , 15 , -   , 1 , 4 , 7 , 39 ," 7,850 "," 7,288 ", -   , 300 ," 3,715 "," 3,634 ", 792 , 823 , 69 ," 24,472 ",, 197 , 151 ,,,,,,,,
,TDU, 12 , 36 , -   , 3 , 7 , 17 , 74 ," 6,825 "," 17,095 ", 742 ," 1,225 "," 7,671 "," 8,801 ", 505 ," 1,542 ", 69 ," 44,475 ",, 302 , 172 ,,,,,PCO,Sales, 10.8 ," 6,015 "
,GVC, 9 , 13 , -   , 2 , 6 , 12 , 42 ," 4,567 "," 6,238 ", -   , 597 ," 3,648 "," 5,775 ", 505 ," 1,300 ", 69 ," 22,698 ",, 218 , 165 ,,,,,PCO,PT, 24.5 ," 11,521 "
,WPC, 12 , 21 , -   , 3 , 4 , 18 , 58 ," 11,399 "," 8,579 "," 2,482 ", 770 ," 3,632 "," 8,574 ", 596 , 973 , 69 ," 37,073 ",, 200 , 138 ,,,,,PCO,Hypoxi, 3.6 ," 1,305 "
,HDC, 7 , 17 , -   , 3 , 4 , 17 , 48 ," 5,103 "," 6,720 ", -   , 837 ," 3,689 "," 7,956 "," 1,314 "," 1,070 ", 69 ," 26,759 ",, 163 , 326 ,,,,,PCO,GX, 7.5 ," 1,305 "
,LMC, 17 , 31 , 3 , 2 , 5 , 15 , 72 ," 10,822 "," 13,300 ", 985 , 431 ," 3,647 "," 7,885 "," 1,063 "," 1,208 ", 69 ," 39,411 ",, 277 , 135 ,,,,,PCO,Yoga, 3.8 ," 3,447 "
,GDC, 7 , 38 , -   , 2 , 2 , 11 , 59 ," 4,555 "," 16,863 ", -   , 881 ," 1,878 "," 5,581 ", 773 ," 1,453 ", 69 ," 32,053 ",, 193 , 172 ,,,,,PCO,MS, 17.5 ," 8,134 "
,GMC, 11 , 15 , 3 , 2 , 4 , 12 , 47 ," 5,857 "," 5,497 ", 646 , 341 ," 3,496 "," 5,971 ", 769 , 771 , 69 ," 23,418 ",, 218 , 151 ,,,,,PCO,CMO, 1.2 , 783 
,VTC, 7 , 8 , -   , 3 , 3 , 8 , 29 ," 3,745 "," 2,631 ", -   ," 1,047 "," 2,538 "," 4,027 "," 1,076 "," 1,275 ", 69 ," 16,408 ",, 178 , 172 ,,,,,PCO,CALIFRESH, 4.7 ," 1,360 "
